PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10383,0,0,0.392,-102.854,51.562,0,0,0,0
10384,0,0,0.386,-102.361,50.688,0,0,0,0
10385,0,0,0.379,-101.867,49.814,0,0,0,0
10386,0,0,0.373,-101.374,48.94,0,0,0,0
10387,0,0,0.366,-100.881,48.066,0,0,0,0
10388,0,0,0.36,-100.388,47.193,0,0,0,0
10389,0,0,0.335,-99.734,45.925,0,0,0,0
10390,0,0,0.342,-99.283,45.04,0,0,0,0
10391,0,0,0.328,-98.598,43.779,0,0,0,0
10392,0,0,0.323,-98.115,42.86,0,0,0,0
10393,0,0,0.318,-97.632,41.942,0,0,0,0
10394,0,0,0.313,-97.149,41.024,0,0,0,0
10395,0,0,0.308,-96.667,40.106,0,0,0,0
10396,0,0,0.303,-96.184,39.188,0,0,0,0
10397,0,0,0.298,-95.701,38.269,0,0,0,0
10398,0,0,0.293,-95.219,37.351,0,0,0,0
10399,0,0,0.288,-94.736,36.433,0,0,0,0
10400,0,0,0.283,-94.253,35.515,0,0,0,0
10401,0,0,0.279,-93.771,34.597,0,0,0,0
10402,0,0,0.267,-93.316,33.683,0,0,0,0
10403,0,0,0.27,-92.85,32.776,0,0,0,0
10404,0,0,0.275,-92.388,31.865,0,0,0,0
10405,0,0,0.267,-91.951,30.964,0,0,0,0
10406,0,0,0.245,-91.5,30.048,0,0,0,0
10407,0,0,0.259,-91.024,29.115,0,0,0,0
10408,0,0,0.249,-90.585,28.224,0,0,0,0
10409,0,0,0.239,-90.147,27.308,0,0,0,0
10410,0,0,0.24,-89.664,26.38,0,0,0,0
10411,0,0,0.246,-89.252,25.449,0,0,0,0
10412,0,0,0.242,-88.803,24.508,0,0,0,0
10413,0,0,0.237,-88.365,23.55,0,0,0,0
10414,0,0,0.251,-87.937,22.619,0,0,0,0
10415,0,0,0.235,-87.502,21.662,0,0,0,0
10416,0,0,0.216,-87.093,20.718,0,0,0,0
10417,0,0,0.224,-86.688,19.752,0,0,0,0
10418,0,0,0.234,-86.269,18.785,0,0,0,0
10419,0,0,0.227,-85.857,17.805,0,0,0,0
10420,0,0,0.211,-85.414,16.835,0,0,0,0
10421,0,0,0.221,-85.004,15.864,0,0,0,0
10422,0,0,0.218,-84.622,14.896,0,0,0,0
10423,0,0,0.216,-84.195,13.884,0,0,0,0
10424,0,0,0.235,-83.828,12.867,0,0,0,0
10425,0,0,0.231,-83.417,11.879,0,0,0,0
10426,0,0,0.198,-83.027,10.854,0,0,0,0
10427,0,0,0.221,-82.647,9.847,0,0,0,0
10428,0,0,0.228,-82.23,8.855,0,0,0,0
10429,0,0,0.225,-81.833,7.814,0,0,0,0
10430,0,0,0.228,-81.464,6.804,0,0,0,0
10431,0,0,0.225,-81.06,5.764,0,0,0,0
10432,0,0,0.229,-80.664,4.723,0,0,0,0
10433,0,0,0.237,-80.289,3.699,0,0,0,0
10434,0,0,0.209,-79.938,2.609,0,0,0,0
10435,0,0,0.209,-79.555,1.598,0,0,0,0
10436,0,0,0.233,-79.168,0.549,0,0,0,0
10437,0,0,0.229,-78.775,-0.489,0,0,0,0
10438,0,0,0.236,-78.415,-1.555,0,0,0,0
10439,0,0,0.221,-78.053,-2.622,0,0,0,0
10440,0,0,0.246,-77.713,-3.7,0,0,0,0
10441,0,0,0.239,-77.378,-4.767,0,0,0,0
10442,0,0,0.222,-77.044,-5.851,0,0,0,0
10443,0,0,0.226,-76.73,-6.944,0,0,0,0
10444,0,0,0.241,-76.415,-8.048,0,0,0,0
10445,0,0,0.261,-76.098,-9.158,0,0,0,0
10446,0,0,0.256,-75.831,-10.257,0,0,0,0
10447,0,0,0.248,-75.562,-11.432,0,0,0,0
10448,0,0,0.239,-75.257,-12.516,0,0,0,0
10449,0,0,0.278,-75.029,-13.658,0,0,0,0
10450,0,0,0.296,-74.792,-14.757,0,0,0,0
10451,0,0,0.281,-74.552,-15.855,0,0,0,0
10452,0,0,0.288,-74.328,-16.94,0,0,0,0
10453,0,0,0.312,-74.133,-18.035,0,0,0,0
10454,0,0,0.298,-73.99,-19.084,0,0,0,0
10455,0,0,0.301,-73.812,-20.125,0,0,0,0
10456,0,0,0.326,-73.68,-21.195,0,0,0,0
10457,0,0,0.329,-73.544,-22.199,0,0,0,0
10458,0,0,0.323,-73.431,-23.238,0,0,0,0
10459,0,0,0.32,-73.326,-24.308,0,0,0,0
10460,0,0,0.309,-73.228,-25.342,0,0,0,0
10461,0,0,0.331,-73.129,-26.417,0,0,0,0
