PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10396,0,0,0.513,-71.726,-52.794,0,0,0,0
10397,0,0,0.517,-71.689,-53.799,0,0,0,0
10398,0,0,0.521,-71.652,-54.804,0,0,0,0
10399,0,0,0.547,-71.577,-55.881,0,0,0,0
10400,0,0,0.525,-71.53,-56.998,0,0,0,0
10401,0,0,0.521,-71.448,-58.062,0,0,0,0
10402,0,0,0.522,-71.347,-59.067,0,0,0,0
10403,0,0,0.522,-71.245,-60.071,0,0,0,0
10404,0,0,0.522,-71.143,-61.076,0,0,0,0
10405,0,0,0.523,-71.041,-62.081,0,0,0,0
10406,0,0,0.523,-70.939,-63.086,0,0,0,0
10407,0,0,0.523,-70.838,-64.091,0,0,0,0
10408,0,0,0.524,-70.736,-65.096,0,0,0,0
10409,0,0,0.524,-70.634,-66.101,0,0,0,0
10410,0,0,0.525,-70.532,-67.106,0,0,0,0
10411,0,0,0.525,-70.43,-68.111,0,0,0,0
10412,0,0,0.525,-70.329,-69.116,0,0,0,0
10413,0,0,0.526,-70.227,-70.121,0,0,0,0
10414,0,0,0.526,-70.125,-71.126,0,0,0,0
10415,0,0,0.526,-70.023,-72.13,0,0,0,0
10416,0,0,0.527,-69.921,-73.135,0,0,0,0
10417,0,0,0.527,-69.82,-74.14,0,0,0,0
10418,0,0,0.528,-69.718,-75.145,0,0,0,0
10419,0,0,0.528,-69.616,-76.15,0,0,0,0
10420,0,0,0.528,-69.514,-77.155,0,0,0,0
10421,0,0,0.529,-69.412,-78.16,0,0,0,0
10422,0,0,0.529,-69.311,-79.165,0,0,0,0
10423,0,0,0.529,-69.209,-80.17,0,0,0,0
10424,0,0,0.53,-69.107,-81.175,0,0,0,0
10425,0,0,0.53,-69.005,-82.18,0,0,0,0
10426,0,0,0.531,-68.904,-83.185,0,0,0,0
10427,0,0,0.528,-68.833,-84.257,0,0,0,0
10428,0,0,0.542,-68.753,-85.386,0,0,0,0
10429,0,0,0.557,-68.676,-86.495,0,0,0,0
10430,0,0,0.522,-68.632,-87.606,0,0,0,0
10431,0,0,0.526,-68.632,-88.606,0,0,0,0
10432,0,0,0.53,-68.631,-89.606,0,0,0,0
10433,0,0,0.535,-68.63,-90.607,0,0,0,0
10434,0,0,0.539,-68.629,-91.608,0,0,0,0
10435,0,0,0.544,-68.628,-92.608,0,0,0,0
10436,0,0,0.549,-68.628,-93.609,0,0,0,0
10437,0,0,0.553,-68.627,-94.61,0,0,0,0
10438,0,0,0.558,-68.626,-95.61,0,0,0,0
10439,0,0,0.563,-68.625,-96.611,0,0,0,0
10440,0,0,0.567,-68.624,-97.612,0,0,0,0
10441,0,0,0.572,-68.624,-98.613,0,0,0,0
10442,0,0,0.577,-68.623,-99.613,0,0,0,0
10443,0,0,0.581,-68.622,-100.614,0,0,0,0
10444,0,0,0.586,-68.621,-101.615,0,0,0,0
10445,0,0,0.591,-68.621,-102.615,0,0,0,0
10446,0,0,0.595,-68.62,-103.616,0,0,0,0
10447,0,0,0.6,-68.619,-104.617,0,0,0,0
10448,0,0,0.605,-68.618,-105.617,0,0,0,0
10449,0,0,0.609,-68.617,-106.618,0,0,0,0
10450,0,0,0.614,-68.617,-107.619,0,0,0,0
10451,0,0,0.619,-68.616,-108.62,0,0,0,0
10452,0,0,0.623,-68.615,-109.62,0,0,0,0
10453,0,0,0.628,-68.614,-110.621,0,0,0,0
10454,0,0,0.633,-68.614,-111.622,0,0,0,0
10455,0,0,0.637,-68.613,-112.622,0,0,0,0
10456,0,0,0.642,-68.612,-113.623,0,0,0,0
10457,0,0,0.647,-68.611,-114.624,0,0,0,0
10458,0,0,0.651,-68.61,-115.624,0,0,0,0
10459,0,0,0.656,-68.61,-116.625,0,0,0,0
10460,0,0,0.661,-68.609,-117.626,0,0,0,0
10461,0,0,0.665,-68.608,-118.627,0,0,0,0
10462,0,0,0.67,-68.607,-119.627,0,0,0,0
10463,0,0,0.675,-68.606,-120.628,0,0,0,0
10464,0,0,0.679,-68.606,-121.629,0,0,0,0
10465,0,0,0.684,-68.605,-122.629,0,0,0,0
10466,0,0,0.689,-68.604,-123.63,0,0,0,0
10467,0,0,0.693,-68.603,-124.631,0,0,0,0
10468,0,0,0.698,-68.603,-125.631,0,0,0,0
10469,0,0,0.703,-68.602,-126.632,0,0,0,0
10470,0,0,0.707,-68.601,-127.633,0,0,0,0
10471,0,0,0.712,-68.6,-128.634,0,0,0,0
10472,0,0,0.717,-68.599,-129.634,0,0,0,0
10473,0,0,0.721,-68.599,-130.635,0,0,0,0
10474,0,0,0.726,-68.598,-131.636,0,0,0,0
10475,0,0,0.731,-68.597,-132.636,0,0,0,0
10476,0,0,0.735,-68.596,-133.637,0,0,0,0
10477,0,0,0.74,-68.596,-134.638,0,0,0,0
10478,0,0,0.745,-68.595,-135.638,0,0,0,0
10479,0,0,0.749,-68.594,-136.639,0,0,0,0
10480,0,0,0.754,-68.593,-137.64,0,0,0,0
10481,0,0,0.758,-68.592,-138.641,0,0,0,0
10482,0,0,0.763,-68.592,-139.641,0,0,0,0
10483,0,0,0.768,-68.591,-140.642,0,0,0,0
10484,0,0,0.772,-68.59,-141.643,0,0,0,0
10485,0,0,0.777,-68.589,-142.643,0,0,0,0
10486,0,0,0.782,-68.588,-143.644,0,0,0,0
